Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1999:Q1,Next40,12662994,15251930,4858434,1238202,1425953,2995797,1517698,797688,2418159,2588936,1970135,518245,100556
1999:Q1,Bottom50,1252426,3240579,1566467,649971,134685,197206,212445,87461,392344,1988154,1155262,774258,58634
1999:Q2,TopPt1,4370086,4431458,316311,154516,1830147,31674,49723,934587,1114501,61372,24249,2979,34144
1999:Q2,RemainingTop1,6375743,6634265,890253,236296,2354285,332494,387546,1153950,1279441,258522,186403,14964,57155
1999:Q2,Next9,13781400,14862367,2906596,599251,3220198,3092467,1314091,1442491,2287273,1080967,811322,130040,139605
1999:Q2,Next40,12945340,15607004,4977233,1253732,1532753,3054120,1578434,812775,2397956,2661663,2020211,533114,108338
1999:Q2,Bottom50,1234749,3270389,1573091,661051,141839,196987,220614,84786,392022,2035640,1181607,790484,63549
1999:Q3,TopPt1,4271928,4329579,329672,144035,1673753,31938,47796,989364,1113021,57651,23854,2869,30928
1999:Q3,RemainingTop1,6333429,6601387,915542,253889,2225446,346339,378011,1201601,1280560,267959,193450,15663,58846
1999:Q3,Next9,13753685,14857642,2968518,611425,3087982,3112392,1274701,1494758,2307867,1103957,832236,129692,142029
1999:Q3,Next40,13026655,15768392,5103881,1270754,1511335,3101666,1531389,836053,2413315,2741737,2080069,553543,108125
1999:Q3,Bottom50,1249092,3332109,1635558,670600,134907,196307,216419,81806,396512,2083017,1211758,810128,61131
1999:Q4,TopPt1,4674877,4730421,345240,148397,2048536,31923,49176,995269,1111880,55544,23642,2944,28958
1999:Q4,RemainingTop1,6871044,7148642,951515,268671,2649214,364070,402558,1225602,1287012,277598,196928,16229,64441
1999:Q4,Next9,14731743,15875369,3063365,608119,3709897,3165341,1429248,1504000,2395399,1143625,854369,130026,159230
1999:Q4,Next40,13525531,16350111,5175468,1285065,1732668,3174035,1659555,848037,2475283,2824580,2128699,576511,119370
1999:Q4,Bottom50,1303292,3423503,1660418,680841,154673,196653,231828,79597,419493,2120211,1220735,827913,71563
2000:Q1,TopPt1,4726258,4779195,355220,145347,2133748,32049,49515,970189,1093127,52938,23423,2468,27047
2000:Q1,RemainingTop1,7079975,7364679,992334,285179,2774101,379826,412778,1234080,1286382,284705,199313,15969,69423
2000:Q1,Next9,15123410,16296181,3171530,616701,3922786,3200386,1496529,1485482,2402766,1172771,874333,123704,174734
2000:Q1,Next40,13926242,16807450,5386361,1306606,1823044,3233315,1712596,852423,2493105,2881208,2169713,581187,130308
2000:Q1,Bottom50,1347619,3478324,1685153,694086,160059,196443,238982,77814,425788,2130706,1219543,830438,80725
2000:Q2,TopPt1,4598890,4648085,375044,145329,1960786,32269,47786,1020151,1066719,49195,23090,2494,23611
2000:Q2,RemainingTop1,7049906,7341446,1044179,301102,2629207,394327,407733,1280680,1284218,291540,205301,16772,69467
2000:Q2,Next9,15114732,16305518,3307428,622463,3763383,3223629,1482703,1535958,2369954,1190786,897043,124259,169484
2000:Q2,Next40,14086908,17047751,5590403,1328089,1793368,3284106,1688510,875712,2487564,2960843,2228508,606391,125944
2000:Q2,Bottom50,1351678,3519386,1722525,707725,152567,195865,237112,75266,428326,2167708,1244272,851855,71581
2000:Q3,TopPt1,4594755,4640846,387145,131704,1892134,32437,47144,1076167,1074115,46091,22794,2787,20510
2000:Q3,RemainingTop1,7131966,7432045,1079206,318890,2591511,409686,409959,1331148,1291645,300079,210955,17894,71230
2000:Q3,Next9,15296741,16518067,3384294,637054,3749267,3253534,1510415,1593036,2390466,1221326,920878,127504,172944
2000:Q3,Next40,14343125,17398324,5799947,1344335,1809019,3340167,1701479,901178,2502199,3055200,2287895,640164,127141
2000:Q3,Bottom50,1380615,3597538,1790752,716191,150207,195498,239361,72796,432733,2216922,1268045,878724,70153
2000:Q4,TopPt1,4391410,4433992,400741,140296,1558021,32720,44317,1092413,1165483,42582,22139,3144,17299
2000:Q4,RemainingTop1,6950499,7259139,1134467,333205,2262308,423595,395309,1361403,1348852,308641,218711,19266,70664
2000:Q4,Next9,15108304,16336446,3526818,633760,3327152,3269729,1446644,1613927,2518416,1228142,934991,131886,161265
2000:Q4,Next40,14412243,17549377,5990267,1364278,1682579,3386416,1630227,916672,2578938,3137133,2339096,677653,120384
2000:Q4,Bottom50,1330533,3585240,1781803,730216,133613,194701,231735,70813,442359,2254707,1290412,909318,54977
2001:Q1,TopPt1,4198261,4235107,424612,141825,1299699,32904,39981,1094940,1201147,36847,21451,2520,12876
2001:Q1,RemainingTop1,6839789,7153677,1213743,348477,2002680,439128,369569,1384508,1395571,313887,226204,19367,68316
2001:Q1,Next9,14987195,16209916,3731534,634517,2995223,3299324,1344948,1622248,2582122,1222721,947429,125488,149804
2001:Q1,Next40,14684801,17866877,6363561,1380789,1577487,3442993,1508493,928636,2664919,3182076,2386575,684541,110960
2001:Q1,Bottom50,1338749,3605107,1804285,741141,120156,194331,217101,69015,459078,2266357,1308092,917807,40458
2001:Q2,TopPt1,4334292,4366835,437321,135903,1413517,29876,40509,1122205,1187503,32543,20736,2063,9744
2001:Q2,RemainingTop1,7074955,7402671,1258487,364679,2160881,424957,380384,1420907,1392376,327716,237736,20173,69807
