"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
1990,0.00902793093904851,0.000641103105130568,0.0131738324775472,0.0482683154905695,0.0046005251735979,0.0246530102316307,0.0159173107928687,0.012886262779973,0.011716041055154,0.0176718674179042,0.0529315375649626,0.0539054224660273,0.0202020700527711,0.0185884315333939,0.0346442891350875,0.0185875682776487,0.0161425747307574,0.0352877200171917,0.0108770459976775,0.013004312288004,0.0118701720740836,0.0368992631324596,0.00889590931180045,0.0255785079112239,0.043890478604187,0.0250516042633671,0.0478129111703964,0.0151174249422301,0.05422089056693,0.0633617559512051,0.0244938116458405,0.0101343234092257,0.0507304364054244,0.0031246923657641,0.026040915931831,0.0137618106463464,0.035262764855135,0.0292335071887358,0.0330103560430555,0.00878129205381238
1991,0.00872777170105855,0.000576999652120601,0.0293550485771629,0.0485081806068476,0.00370309086611659,0.0252734410385086,0.0057905027172306,0.0182373461439099,0.0184837337150894,0.0247904331364604,0.0552043838570189,0.0509399064056699,0.0163710740095161,0.0231462770640234,0.0385366957800627,0.0206830450588084,0.017311725002659,0.0266235151428634,0.00843063480481748,0.0201853908868037,0.00766657225759396,0.031051639274951,0.00840795006138582,0.0152858650265161,0.0434352765469147,0.0331087358365269,0.0136677333075053,0.0110425186747966,0.0588934331044463,0.0818137671016579,0.0110198024126167,0.0113016475050326,0.0325468288924019,0.00581274030319596,0.0231710094082964,0.0293164240862628,0.040546115026865,0.0339952280359333,0.0382799753685993,0.00875754160175313
1992,0.0109417649842464,0.000508311870542681,0.0207372705221904,0.0391218703378811,0.00615447668645199,0.0375332017547463,0.0200244178716164,0.00431035923979569,0.0158720627578123,0.0116616944439663,0.0268410947250576,0.0223334319596246,0.0241166652075641,0.020061564334465,0.0228739494125519,0.0202816167995523,0.0133367086803873,0.026598966996837,0.0186911842415279,0.0204156141893912,0.0134662255245169,0.0408585791451208,0.00622033409825441,0.0165851008139982,0.0326676312278303,0.0276222296303772,0.0214375717485974,0.0219758960008575,0.103721723735507,0.050380419750291,0.0256425028857726,0.00882543221387555,0.0446853182732953,0.00374125186809487,0.0237876374495162,0.0161926134046042,0.0527021699620198,0.054443995323045,0.0326048459431173,0.0200222939850995
1993,0.00558280805235436,0.000428791743675189,0.0148938672025983,0.0394531578441247,0.00751751626932797,0.0466019706101895,0.00589603609795748,0.00748477280623652,0.0144075639559263,0.0169380818327147,0.0417608780434772,0.0567241074516069,0.0382165323005513,0.015783965670045,0.0214437207677484,0.0168050139296129,0.0295835068288678,0.0267167612611844,0.0273977051458815,0.0226871045121095,0.00837054747035236,0.0372772891058991,0.00779445033879732,0.0299053772831494,0.0390262929290601,0.0429229183597692,0.0168244046520109,0.0189489306113612,0.0655457263879693,0.0576719323899548,0.0154496531938851,0.0132340216782549,0.0348813095447166,0.00314206719280901,0.0216470655435215,0.00978095312884139,0.0453986807381696,0.0302738836995807,0.0257283258554671,0.0198523075702404
1994,0.0055093246720178,0.000390508894867021,0.0351121726054401,0.0258482059799961,0.00575706941164436,0.0447632580492655,0.0159443812617658,0.00812309939155235,0.0179936875286077,0.0174350086694831,0.0682413212199791,0.0160366655878584,0.0276988080453243,0.0124736721915625,0.0269062300377718,0.0253788030666957,0.0265869451619909,0.0288223492087585,0.00435949610754428,0.0265575794220903,0.0030435849720914,0.0327122979212278,0.00953196049666163,0.0150763547095202,0.068314342010449,0.0281432749533745,0.0129340353908153,0.0221129640062712,0.0678424096459503,0.0813213588940029,0.0189336431356529,0.0115255128230383,0.0433535696990663,0.00631255649790997,0.0220953842879517,0.0116100134882247,0.0439722752903398,0.0271272819223311,0.0215286950324815,0.0125698983084243
1995,0.0175531126963964,0.000604394004527731,0.0201826705171587,0.0367205181492371,0.00350619519631045,0.0410925824589005,0.00834830738549943,0.00614007553305368,0.0143183397766,0.0190275976113408,0.0575681205023765,0.03534714367538,0.0145101750185759,0.0181746762534096,0.0189470499632834,0.0249407690646159,0.0183001959782403,0.0238656058153504,0.0109458853920898,0.0194307462672154,0.00373697475327524,0.0331112103129057,0.00656230864737074,0.0328002396364893,0.04359708133151,0.0201043891690623,0.033763449913777,0.02688755366567,0.0692256304012567,0.0689274531761709,0.0130216120449128,0.0120477790352875,0.0406352342701537,0.0025581494300331,0.015531692517662,0.0151698755977283,0.0824660765595453,0.0433211293723919,0.0161998623282076,0.0108081365770277
1996,0.00941053279712752,0.00059035269927567,0.0250536963601391,0.0475628761553713,0.00367252695495607,0.0558924391226947,0.0148082693090328,0.00752385016525326,0.023911876512714,0.0171402885219502,0.0254408924912667,0.0206148845493187,0.0116704361848142,0.0141034206190932,0.0198374714791897,0.0255025805043628,0.0170414585212611,0.0170215039041198,0.00522168273330443,0.03126407610724,0.0157434945094384,0.0442713452549369,0.00660577555106328,0.0157370936809287,0.0395420095677388,0.0209883429635575,0.0234031186660803,0.0181622176533376,0.0850581921059747,0.0363477537766262,0.00965760065344545,0.0201130240030909,0.0392458389731015,0.00441909876506863,0.0301003473842173,0.0381198900035715,0.0710685614464277,0.0511589512650951,0.0175619381833971,0.0194102899004172
1997,0.00831528801051737,0.000533829628584546,0.0175804829142508,0.0387799701286414,0.00521452393659502,0.0608110692267289,0.0113068864924455,0.00601799476649429,0.00910508071258088,0.0134407878764575,0.0429329022454682,0.0257285524711299,0.0211794006190438,0.0109256336645823,0.0247082777487646,0.0268608396042204,0.0169690893220621,0.0280011529110746,0.0134457593903989,0.0240462125931976,0.00489026436732865,0.0437136590062964,0.00805319391154428,0.0218255121195993,0.0746208468675453,0.0475645305221678,0.0316467027675541,0.0172114416383574,0.0772212717123724,0.0419106750115973,0.0166560404758791,0.00536205942833845,0.0448699164641413,0.00769135339369005,0.0108871329315323,0.0135711639512706,0.0611163213620775,0.0301849860035501,0.0169638355069927,0.0181353582949267
1998,0.0118165366181218,0.000435990268524592,0.0148761488589864,0.0361696098522214,0.00366072500610177,0.0493709476647697,0.0131062014413185,0.0108175404040495,0.0133334571605989,0.0138538916547687,0.0442011578024208,0.0174702449951284,0.0256330633169805,0.0168343659694697,0.0135434160285379,0.0270711062178909,0.0216215543550407,0.0238737577479676,0.0078514399086599,0.0242220152761535,0.00549070253548389,0.0422667060754493,0.00677907179780192,0.0215975966056412,0.0607357198386757,0.0189294461652144,0.0198904510276056,0.0221064953307555,0.0771689211495914,0.0548187138109569,0.0240752877846799,0.00762327407270615,0.0534510688125321,0.0126737564843455,0.0274163953339898,0.0140105428591161,0.0515276928432114,0.0585793450671814,0.0177232361523624,0.0133724057049882
1999,0.0117900132240561,0.000610751956354016,0.0279057303471573,0.0371924724524674,0.00276532603842786,0.0434602705788947,0.0129062146319946,0.00661470211662617,0.0173498267097341,0.013686640271048,0.0387629088455386,0.0168191832951109,0.0235442621100935,0.0162617661195987,0.0143662166401439,0.0225531906971695,0.0174163452580954,0.0243155840293157,0.0146624102452417,0.0287303444919562,0.0128905326357598,0.0477562929218942,0.00708100313033959,0.020143525931564,0.0492409972219317,0.0254401464252952,0.0312161384536666,0.0194272210591859,0.0774761667888191,0.0382349462057668,0.00905100094794692,0.0118375699587986,0.0489795215493017,0.0336078404195619,0.0243459715156629,0.0106763860056617,0.0630903868778375,0.0513920851604002,0.0121096233385742,0.0142884833930072
