"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
1990,0.00208407141096045,0.000424023867988722,0.00638207394071737,0.0148464473820298,0.0347508065606758,0.00704188164156423,0.00969594889282335,0.0539072167253076,0.173765305669468,0.00441203421742901,0.0136163721291163,0.0499463074311653,0.00199863975746371,0.0381804433589837,0.00144638971930586,0.00861815006811897,0.00679596353766185,0.00755338031273017,0.00100638593646754,0.00530379373860844,0.00953898586038109,0.0383950214492581,0.0199035037919987,0.0102649325707779,0.0123313285177573,0.00672533082583018,0.0114147150726878,0.0135024265567419,0.0146989436911138,0.100968319264148,0.00423656356310667,0.0108498431243596,0.00378425152451002,0.01110934592177,0.0139306817876422,0.00376797722928049,0.0118014409540473,0.00401656886466332,0.0118780792489992,0.021024586537966,0.00744905063724925,0.00922589771619282,0.00291444892994198,0.010015494876248,0.0177836004953806,0.0226140374416271,0.000682189634920813,0.00672800166546301,0.0134224643094108,0.0309694890933604,0.0189681534181042,0.00372491281601642,0.00660849113838165,0.0084550506295057,0.0365585678664248,0.000554587435927328,0.000468253493346662,0.0136938051469042,0.0110078523303717,0.00223716826959693
1991,0.00464319374554683,0.000541072007038979,0.0255521283496293,0.0363323341506664,0.0102996974678569,0.0192149670332542,0.00676185548148433,0.035402094659094,0.1077003637474,0.00506425161755982,0.021548187597536,0.0405215276592389,0.00393980849413197,0.027483581832743,0.00193251677300308,0.00422395044383767,0.00935191434371245,0.0056431814355849,0.00169122722226715,0.00925203652965009,0.0175530642692542,0.0473302945684123,0.00456003301423488,0.00663751686680491,0.0311713680869757,0.012634785736366,0.00658818155014199,0.0121988411219328,0.0352072068786719,0.00776129125384892,0.00873379901372148,0.00904411512799535,0.0169017405716756,0.00888717445370137,0.0443632623621128,0.00563470310725693,0.0357708810907477,0.0305946963031874,0.011280723816622,0.0196526638836408,0.00671142742030797,0.0113008287108605,0.00552982026704885,0.020027462653319,0.0122489847934874,0.024543454613966,0.00144667400673247,0.0234502083897999,0.00709195140113737,0.0237650953419235,0.0146330993980845,0.0216019731399725,0.0116720923675865,0.00523016585660586,0.0413933756896896,0.000349160172667556,0.0013306358304179,0.00972078012244617,0.00603755531698588,0.0023090208384201
1992,0.00357126928475352,0.000628045582458819,0.030221410483699,0.0403602809505861,0.0173307725305081,0.00768301842633121,0.00247593708493298,0.041409671606116,0.0229873429685486,0.00332988361031184,0.0137557483834606,0.0330490679339662,0.00296758060364462,0.048546583315103,0.000982411715899292,0.0115152635510048,0.00408446885058903,0.00407610294891465,0.00230782432701098,0.0162055648903269,0.02095675010353,0.0399266414605667,0.0086594696410755,0.0394341411996181,0.0608581326036311,0.0062313197726712,0.00436670635435784,0.0254338562291883,0.0222943899635118,0.0101643157659053,0.00612273405297959,0.00496212559048181,0.0233096220800604,0.00817918124172432,0.0306715574510559,0.00562571960498674,0.0385831646509794,0.021127982627805,0.0119856745883531,0.0271017530802407,0.00597313211683361,0.0244713497104143,0.0102015930812961,0.00347418159014759,0.0299593058740012,0.0236430296791421,0.00212516894049478,0.0121578046293517,0.0198577935296055,0.0189495635350587,0.0559876782215675,0.00307070668737614,0.00111142430511557,0.00569605759358267,0.040359373079812,0.000689919936009111,0.00139063571981145,0.0109596561625069,0.00395699558628965,0.0024811429106945
1993,0.00156600188205364,0.000383083513006425,0.0186040183870906,0.0458271499027535,0.0463925120115227,0.047141929826649,0.00269785917535093,0.0494740712790416,0.0393407844609745,0.00372597668293163,0.0263854275914851,0.0185236943738006,0.00281490753332883,0.0248568936722155,0.00580985048019601,0.00816893139480873,0.00706854013128535,0.00450280294089368,0.00167708746805513,0.0118412263061611,0.0110106005164755,0.0377976379441822,0.00416939007788519,0.0352031432000367,0.0245139040253863,0.043492638610327,0.00986814268935363,0.0271367012298522,0.0268335375585832,0.0312650075535217,0.0121880442205767,0.0014516230431656,0.00971270148938024,0.0159626750176191,0.0309384078091721,0.00408952391999893,0.0192963588959974,0.00559221718784851,0.00798334490514893,0.0362272945513659,0.00546645040905307,0.00555963720849717,0.00152101038078561,0.0644114488167204,0.0430691079824262,0.00958445594799689,0.0020219596125089,0.00779289504047219,0.0108051867823364,0.00498271709762427,0.0132353156953371,0.00280106086992098,0.00893202949889888,0.0047022214037459,0.0341011780093094,0.000446455180540374,0.000774078939192358,0.0110105392638405,0.00476018902309735,0.00248641937821407
1994,0.00800757468040201,0.000459414568241949,0.0156350939991119,0.041748557482027,0.0319213420626849,0.00934966826561172,0.00158002775270061,0.0120762905747672,0.0609165980737098,0.00197729382352656,0.0116377869612047,0.0123732335144544,0.00883185995869297,0.0121951648599266,0.00558454920845919,0.0218463163372509,0.00530056876365623,0.00376167885483657,0.0151547842470008,0.00281161644072776,0.00676432212466245,0.0432131013134584,0.00340639250274437,0.0240381809297874,0.0212660849462866,0.0105141600815182,0.00926078759912007,0.0321484462832313,0.0348489852853541,0.148337069819729,0.00125786101117818,0.00257590032179001,0.0151478940455483,0.00913632883917623,0.0114227930893801,0.00671083924658013,0.0261886994042212,0.0243652464634976,0.00650759755166541,0.0300864905205912,0.00343922571650489,0.0202672321594718,0.00224831285557001,0.00744375293349466,0.018575151638804,0.0364148595115805,0.00127551731992192,0.00424979025452892,0.0396830371761564,0.0178142833014445,0.0137516355972397,0.00339394305553607,0.0137401636888684,0.00498670583103958,0.0487295416634123,0.000335947006671044,0.00151747185170126,0.00424419294881409,0.00533831898666227,0.00218431469406376
1995,0.00500553717409585,0.000451449311949366,0.0233684308636268,0.0201547892752161,0.0520906288610892,0.0922047323802308,0.00732971588521046,0.00651653043983971,0.0295707975098957,0.00398323420766364,0.00993794515509331,0.0337400320940194,0.00307231759458623,0.0135311064582394,0.00230272002034549,0.0309642334570449,0.00865781239330657,0.0058320102597684,0.00102091608466947,0.0107619733562033,0.0139222910179803,0.0706720404541775,0.013474664301881,0.00431122728217966,0.015243685614298,0.00747260104848884,0.0120837489035861,0.0373615014652419,0.0398523732512751,0.0169412534373416,0.00722980024178473,0.00172251252080628,0.0244707584999715,0.00674970883498746,0.0110157044094339,0.0197843407960584,0.0518117249660473,0.00611386170331804,0.00865170664539824,0.0265854400445693,0.00569045716006624,0.0370670076450298,0.00626289574670589,0.00431104652792769,0.018492080863706,0.00658369754492193,0.00115261047215698,0.00593781614684261,0.0152288294020095,0.0211306152631933,0.0156674303382005,0.00314169304230478,0.00389370813111521,0.0226170731150448,0.0553472267016848,0.000275017799868836,0.0065575052459438,0.0082903119286344,0.00384599299166296,0.00253912571206072
1996,0.00254047071399062,0.000310674475075374,0.0538168157740481,0.0117743392240902,0.0155671022641406,0.184903511763118,0.00418995916690177,0.0136688664521084,0.0175038525248912,0.00433666395200947,0.00860193271212869,0.0237752736710444,0.00877454213926483,0.0178820222061199,0.00154568395230567,0.00723826112759281,0.00652255002064499,0.00572724934106296,0.00131021938724566,0.0109805732791351,0.0153825550556859,0.0744467252188592,0.0065578793101905,0.00822721439771946,0.0305484292230864,0.00368820474691391,0.00539015024619668,0.0258684863723675,0.0593188989866864,0.00508754043489649,0.00481038811982233,0.00192374118138669,0.0276894959961295,0.00430729061268201,0.0212312442020232,0.0183700838973127,0.0263820627985466,0.005023853144478,0.00942940476268312,0.0384415478454933,0.00583384694991396,0.0338812474048588,0.0062462415819632,0.0104998061249578,0.0132686177969586,0.0044147707578369,0.00178701478346772,0.00452549450967983,0.0131493392055237,0.029175560619597,0.0109371226657243,0.00793872695200185,0.00472040281779365,0.0024324360821593,0.0470962110107197,0.000828621252686284,0.0016062407510001,0.00438593987788637,0.00205379827420829,0.00212279988098407
1997,0.00461117528999315,0.000555067132637986,0.105619187984538,0.0106113788657196,0.0341889555920892,0.0125428652825261,0.00273579273280849,0.00556061414948227,0.0266193418540599,0.00483146126460247,0.0126610453711843,0.0494873552994403,0.0122857255932459,0.0105582276342853,0.00126347911008266,0.0103509426913189,0.00479269206068493,0.0031125143184114,0.0137574512197503,0.0109495650273283,0.0104005692841725,0.0747322957842173,0.00694012570618452,0.0114314862988665,0.0150844602433815,0.0206263771167781,0.00585663583147757,0.0245068054694458,0.0257774902015555,0.0336905813816165,0.00987915373064577,0.00947991055254311,0.0200025500704219,0.0122700425540277,0.0266509507721265,0.0109224295465236,0.0231075851149988,0.0386439681457374,0.00796123185690603,0.0303583593715598,0.00325819817970111,0.0232504152718751,0.007578424023499,0.0235740778014783,0.0181778777336735,0.016219212632178,0.00490245611176738,0.00401709841007252,0.00949786365841049,0.0300781393497796,0.0148121973150718,0.00673210823340253,0.00397433248073358,0.0175750695606663,0.0475799744824199,0.00038454282229471,0.0036354120277419,0.00532765703854313,0.00162821390622152,0.00237888145309394
1998,0.00289721686197368,0.000425311184883917,0.0528853975624972,0.0234259601001442,0.0130125977317847,0.0649169153544097,0.00294058936298094,0.0144976518541048,0.0332657074730067,0.00351965227078382,0.0160930426226349,0.0119121611629211,0.00325557024619443,0.0257065551475186,0.00614223221514173,0.00665551405908162,0.0162629246428481,0.00982852479981831,0.0022325869713612,0.0578114927856288,0.011372172009031,0.0359370840932015,0.00701178738856424,0.00952800618321135,0.0170963202142304,0.0242262707477523,0.00250803856143017,0.0430954814851534,0.029404118857571,0.055963872990543,0.00197287607239663,0.0211521272751336,0.0202113806297046,0.0241670890110355,0.0155078127943369,0.00565519937399219,0.0154571535392722,0.00250904373874614,0.00947247335474598,0.00952961656880457,0.0115614849745411,0.0104507337132491,0.00358945323916144,0.0127893253093191,0.0249588606064785,0.0224701202812123,0.0016079761496867,0.0114784614023583,0.012859248716115,0.0246047670213117,0.0179153345856229,0.0113924000498149,0.0114566745765696,0.00571745693113199,0.0558516715479068,0.000314899010738146,0.00129741081179875,0.0237916018285334,0.00434803886548304,0.00207855108039225
1999,0.0016177280380381,0.000440536821025082,0.0613839410795209,0.0130316820913631,0.0121137275394965,0.0325358922109214,0.00183479493342457,0.0205184675057148,0.0356895777504442,0.00221267416970489,0.0113692441574221,0.0182400654242252,0.00572472154861136,0.0184669651716223,0.00246156565592697,0.0151231258139879,0.00733688737641782,0.00772164606975312,0.00177552273028685,0.00804614263361157,0.0109312156693219,0.0361245130322563,0.0179160662401824,0.0130378374877439,0.0103092004376529,0.00940633240965471,0.00625075203341986,0.0327430994071272,0.0278409147934405,0.206533393824385,0.00233518765149959,0.00294294335775706,0.0172644071273317,0.0170593465164542,0.0133544050273526,0.00593766942041117,0.0143639999722846,0.0045526465070956,0.00883280971787118,0.011534707233369,0.00842235772351536,0.00456128943107852,0.00588686561454408,0.00655447997435675,0.0228134448391164,0.00912751151475373,0.00564458715396229,0.00646790774273132,0.0109075016284927,0.0444084961022661,0.0100686902094723,0.00654230544514963,0.016001955747424,0.0212724000183133,0.0463991267899214,0.00031424214755357,0.00134754208956086,0.0213462954240509,0.00293795105109682,0.00205869276450969
2000,0.00165358804603256,0.000430360531520449,0.058398477357679,0.0102634633808163,0.0119712806962676,0.0395780905509558,0.00513177977464486,0.0556328276525391,0.0233519458964974,0.00340845228387489,0.00901758445890751,0.0565623767477272,0.00346695096842891,0.0365985492277421,0.0012050907400594,0.0192199443958611,0.00520338227489319,0.011338865025746,0.00288144094345842,0.0103636032704749,0.00813420270985585,0.0309304141604058,0.015623511732974,0.0138121731254277,0.0148520295568022,0.0244118443156039,0.00723278801554172,0.0277485723841028,0.0305785973329956,0.0563021256424859,0.00116359007039611,0.00290312796899397,0.0208430909023171,0.0194472803994849,0.00812924286958046,0.00899035872726043,0.0344409990161686,0.00480556938685427,0.0099808798479293,0.00876398946169274,0.01413798387135,0.0144345012857227,0.00693763203970119,0.0100886415986061,0.0549396956902037,0.00919188566397623,0.011407998984419,0.00558179619267586,0.0178076824954182,0.0299489228511998,0.0091598654345828,0.00227020035467018,0.00570389891308638,0.0142902700744204,0.0545935387016416,0.000393016565031426,0.0024436479074663,0.0177873938919393,0.00174906921356407,0.00235991641932447
2001,0.00123143638045344,0.00033607459647684,0.0985746200929701,0.0066003405807408,0.0103317717992421,0.00736540310359791,0.00347377908628921,0.0550026603596112,0.0148728360122553,0.00399066117308588,0.00812456181428248,0.0287486255619913,0.0155408242442415,0.027658144819099,0.00999207547502609,0.00996695235736444,0.0113503314496564,0.00365847864446371,0.000905401341126577,0.00736781684620295,0.0150781215515,0.0383511798758797,0.0241613176773746,0.0245599681836287,0.00441073729516766,0.0114850255198903,0.00581510876930277,0.119346988268397,0.0325352153937263,0.0449993298142804,0.00667703055707419,0.00198963931083871,0.0122082099898245,0.0193534948291599,0.0121788363610383,0.0174942435020301,0.00623213861182753,0.00522029131041626,0.0126432797695736,0.0156015451317622,0.0100440740292128,0.00691100936232441,0.00455288045360161,0.00685004198752641,0.0301810538709496,0.00836634317856297,0.0262025946322265,0.00555741462169093,0.0128136631808822,0.0105506604812748,0.0145261240503491,0.0138817942324812,0.00979294017330462,0.00431301537349257,0.0450786909319118,0.000247696170794269,0.0021369494979341,0.0286331205699102,0.00191847614636918,0.00200695959433053
2002,0.00173003204106653,0.000332088705025616,0.0543589680446792,0.0151893249131999,0.0102782864942538,0.0105984182452257,0.00330669106371526,0.1204872455076,0.0186834299558037,0.00190061751145752,0.00878300135089351,0.015584652908275,0.00160883006919255,0.0134862241006389,0.000788214833072923,0.136055393534787,0.00580794669444181,0.00441095590484014,0.0065618933255383,0.0088627731978743,0.0155982460474099,0.0367024116833675,0.0195294208251448,0.0109042817825692,0.00627148875604286,0.0187303963424802,0.00594477885815066,0.0117021105854257,0.0297448369732724,0.0660721962444961,0.00116492380139545,0.00119234959692278,0.0268648558152754,0.0079220895426455,0.00585173345677404,0.0154239192895522,0.00898266646456414,0.0237183190708611,0.0100307116940401,0.00993366964420566,0.0115361215871322,0.0143080707350159,0.00615124044043978,0.00961450997237766,0.0121367334107313,0.0124626253553927,0.00178874498053234,0.0031024701987934,0.0233417791154189,0.0427663185352559,0.0124950033176583,0.00483015397295087,0.0181901027780371,0.00432792318423962,0.0349869254682222,0.000302368269441886,0.00113113154952862,0.0126171735543253,0.00120266935939861,0.00160753933893027
2003,0.00102070163564324,0.000283531750839505,0.0292095943579595,0.00321511770357729,0.0189904934485155,0.00711389631238399,0.00315521108963232,0.071262771903412,0.0259304916633536,0.00362593018264476,0.00597930007025988,0.0345741847064017,0.00376914772202758,0.0450118779970234,0.0029872841874181,0.172041115743995,0.00885469572837351,0.00219719409552004,0.0017782392704687,0.00499536242358996,0.0104847659487472,0.0318239303983796,0.0018625876202046,0.0236333785767837,0.00795596424854552,0.0036090832043621,0.00723546422755782,0.0404166170431418,0.0228340107282454,0.050833993360807,0.00358372564963048,0.00176661832655383,0.0136997250183665,0.0102656357682761,0.0045732982146641,0.00608329916395385,0.00815523367288624,0.00279650242670803,0.0181191753515971,0.0186718362292351,0.0111429588692483,0.0198256815785539,0.00647827360925631,0.00217203160391532,0.017846571866045,0.0164842305238864,0.00393953152088514,0.00349749664654017,0.0202411650080093,0.0195899699069627,0.0145657391080661,0.00653203205189544,0.0246104195560667,0.00190876832577372,0.0522980294124035,0.000351944669805281,0.00336124682183549,0.0376120280756233,0.00154398251020402,0.00159691116333852
2004,0.00401162566547654,0.000336168522022657,0.0374407079065891,0.00701878629993042,0.0100099159915542,0.0212300748475657,0.00559649619953622,0.0120154900597337,0.0552466561215828,0.00467630309285928,0.013301278693351,0.040791624167368,0.00640855409242297,0.00685153550378926,0.0065009508973741,0.0522591580891031,0.00687633584658714,0.00715654742317926,0.00130458891845306,0.0154823530748428,0.00805963563825555,0.0398965700648601,0.00457190897442938,0.0323541952558714,0.0280911167264737,0.0169568372573293,0.0059780225184786,0.0282640431158001,0.0306872851427557,0.07413713954304,0.0021684796339228,0.00213977830971581,0.0473246684080822,0.0110162836801158,0.00374721520459517,0.00592478337231144,0.0250566151553022,0.0141557324717826,0.0066819553830655,0.0253666684100238,0.00974547935695337,0.0150020010583609,0.0145972720332572,0.010990676167092,0.0154417186354533,0.00794540413736878,0.00390430792649522,0.00621847054898132,0.0190126459148547,0.00995449017042019,0.00916794380439861,0.00736023915807966,0.0506850373800232,0.00346574270227759,0.0709741490807566,0.000913719935446463,0.00183111462845337,0.0115236861968759,0.00196251534377628,0.00220930014114305
