"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
1990,0.00852370256004593,0.00078375766499402,0.0113086968524733,0.0481409179026067,0.00772941174744713,0.0186873585257641,0.0191727190446367,0.00928623806394635,0.01154413519883,0.0139177811419375,0.0286128654741502,0.0525106987562097,0.0115615970850483,0.0150745290476359,0.0125118978522263,0.00475870956583194,0.0157428037186854,0.0319670380188428,0.0104553763041113,0.00891245710613054,0.00617864794291573,0.034220318487343,0.0115181934238312,0.0215158922765337,0.0358701792493938,0.032702992585222,0.0428726774253964,0.0104750508776008,0.0480718575015773,0.0458825038078479,0.0227416815975288,0.00891841960289861,0.0390503569127967,0.00261532516384117,0.0208027462834542,0.0173676946205747,0.0240409780550899,0.0260728091953005,0.0239336221872608,0.0145640808125216,0.017120724272853,0.0116516272037157,0.0204917622953831,0.034891626782048,0.0213776534197885,0.0139097053397451,0.0150493523898654,0.0210090313646371,0.00149371650410067,0.0123860807873806
1991,0.00817913219546214,0.000817497168863476,0.0255601292205067,0.0455469678711304,0.00935342622112954,0.0197201087472242,0.00704726740123386,0.0168591630623222,0.0148842917278049,0.0188080677571364,0.028294244039671,0.049315138345502,0.0117930556077261,0.0180023976176502,0.0148376274668387,0.00593697240943157,0.0172710602864832,0.0215698844944694,0.0078290436534084,0.015195871297717,0.00321017744227401,0.0296392072382469,0.0099807310788367,0.0129977703419724,0.0382316277974632,0.029637213440479,0.0114815357042188,0.00761576864099214,0.0538481671857275,0.0614018794321484,0.010497709866479,0.00437881975708049,0.0271878791140834,0.00453355552772519,0.019630655475273,0.0274027806033437,0.0286665079548553,0.0291654258947072,0.0429466115506109,0.0173368876403694,0.0177292623222693,0.0107656187295224,0.0103718053163402,0.0483633268006496,0.0190146165045261,0.017870560455553,0.00895797201503483,0.0220581411448099,0.00239944702785782,0.0158569914048388
1992,0.00996716127978988,0.000500277395208293,0.018502856148368,0.0362814782434901,0.00541555838645512,0.0285607883786601,0.0233405721641914,0.00408540529563408,0.0096843784393041,0.00832994674178205,0.013710151458891,0.0206538948547893,0.0153478836686227,0.0174308201404975,0.0123094901206288,0.00863066570395166,0.0129398323505385,0.0232771219021137,0.0169633726418984,0.016582608003459,0.00779356533219751,0.0390762386830205,0.0105170102522689,0.0141250095083495,0.0327443028597864,0.0236935621838327,0.0182527823493364,0.021606748774556,0.0895635290734928,0.0339855879773377,0.0232681786625498,0.00796848668993379,0.0389637251102961,0.00368843609253313,0.018958079280891,0.0177196568242573,0.0418906565418114,0.0499973757887806,0.0262098827001296,0.0284889631923918,0.0148068784667091,0.0231883505465174,0.0136741372330857,0.022888768803594,0.0135123688122641,0.0161188815624659,0.0147421701466725,0.0214459889875305,0.000864016556715803,0.00773239768841839
1993,0.00501812327279026,0.00049169281880147,0.0132050366205343,0.0392572266515765,0.00794150492285195,0.0371132849359074,0.00664034251981977,0.00526432656748997,0.00790797102354971,0.0127188500432176,0.015395207049757,0.0522996687267023,0.02407230584025,0.0126342889907694,0.0101271305660288,0.00903126330443677,0.0309998253152341,0.0232212107721534,0.0260348147633621,0.014598787410619,0.00363434368929454,0.0364085495550643,0.0113231405096359,0.0263237239328024,0.0419225199829447,0.0238082130399904,0.0140087250022035,0.0224977031995361,0.0544483212911615,0.0422199541547086,0.0140699804810178,0.00535058856559128,0.0294744300826466,0.00199646827645433,0.0170550862504265,0.0133891382326411,0.0285138900714439,0.0262361873692991,0.0228366809818006,0.02966007277379,0.0121783108281606,0.0196781774133489,0.00939049393150169,0.0507596213875761,0.023724105377264,0.0171848182060114,0.0158857549933594,0.0217538563538097,0.00247052559544242,0.00782375635522091
1994,0.00529301814072,0.000406655015228478,0.0287191218804485,0.0277409843068188,0.00917856359397112,0.0340938332556092,0.016919499844414,0.00757986761991945,0.0172388928173213,0.0144039490604822,0.0205746327128041,0.0153801915324801,0.0190073227143112,0.0104947034202263,0.0159316493388396,0.0151451112526965,0.0263369264851268,0.0254312221275068,0.00421385495642911,0.0154807317198506,0.00118170895126286,0.0302496813973364,0.00732710222538251,0.0117642655235493,0.0715800781442363,0.0220943159172167,0.0106985487218225,0.0180096977841558,0.0579349317588453,0.0566246641762031,0.0176558194678275,0.0048419555014365,0.0350670607355033,0.00534346204093173,0.0194640810564889,0.00909896539229261,0.0300825356130139,0.025990575924044,0.0229293758123114,0.0201207162270097,0.0094013062064831,0.0223814299346562,0.0218823905481209,0.0577997884763038,0.020290335934517,0.0183374915820414,0.014384179633612,0.0169851097127166,0.00271974793515243,0.00818794587032205
1995,0.0170756530122954,0.000778155668517936,0.0186728264869251,0.0376458638785633,0.0082171858292639,0.034111508324972,0.00943132349868651,0.00645612094176448,0.0105262677547679,0.0162985707589475,0.0230930838480751,0.0317774544763514,0.0118849268172894,0.0151708556940089,0.013095091253258,0.0106051690876345,0.0175506127336011,0.0214951348040371,0.010260053060085,0.0155715977924667,0.00182464600160269,0.0323545018457508,0.00792253670559025,0.0280427502126403,0.046283231551618,0.0134648437046121,0.0312810278991921,0.0140188202252141,0.058493088954816,0.0495874870660225,0.0121243476348706,0.00336097057069414,0.0337780806468417,0.00212923278002456,0.0142529385238641,0.0120486919337792,0.0668225748114703,0.0392802706392389,0.0165806300518246,0.0193893694284672,0.0141031382741863,0.0265473311246,0.0184234757581552,0.0454390505726472,0.0131722118658708,0.0183284310914719,0.0083954964953285,0.0105916083481251,0.000992266905361056,0.0112494926546087
1996,0.00854094706291434,0.000773550438486228,0.022834707882678,0.0425287356640192,0.00492646444004946,0.0461136719324139,0.0157649579478256,0.00620369854674249,0.0118299150134905,0.0144022136873174,0.0150006045321213,0.0186502111090528,0.00665468393989151,0.0116910412279344,0.0100316981482691,0.011766774275148,0.0186761588932001,0.0134053112557134,0.00494686120330842,0.0229458065439049,0.0063033458234501,0.0425535092295248,0.0117865712609617,0.0131272662686026,0.0401453439356424,0.0215108925935285,0.0207846241933331,0.0110798141260827,0.0745255148959287,0.0234780548770115,0.00887328343129222,0.00479247667763079,0.0326605940747443,0.00385753851505181,0.0255151291121385,0.0376593803552378,0.0594776686428086,0.0464563472117556,0.0159085694693851,0.0347454815224749,0.0122637949984086,0.0197858484234269,0.0137320474207109,0.0194508949938294,0.0144563596792976,0.0340125469222056,0.0150220699063551,0.0122949475117107,0.00203474548827639,0.014017324694712
1997,0.00792523261245495,0.000556699139745663,0.0149448565095086,0.0359685618805488,0.00511986955157104,0.049734230826529,0.0128728897306444,0.00459860854886546,0.0107578136507315,0.0107917372223576,0.0350777372765565,0.0242190185246477,0.0145746303391635,0.00933423870465876,0.00910936978823729,0.00729769628119443,0.0180087612617666,0.0241215407953224,0.0121947949769632,0.0175422257814822,0.00162495365863115,0.0420419582846287,0.0117182251621493,0.0183570466089075,0.0813856784306862,0.0272763562913856,0.0266485920975772,0.0116185248604756,0.066090093237374,0.029671361831989,0.0152911562440418,0.00264894517034373,0.0384640851665247,0.00650999558973669,0.0104536354888654,0.0122381451415911,0.0457272435082605,0.0274129379866489,0.0151190512283717,0.0267186490216972,0.00990690662992074,0.0209414194455181,0.0183582138563426,0.0405767490921096,0.0187912110956102,0.00900639764835847,0.0077855429900852,0.0136591528070671,0.00179675677292027,0.0174105012492322
1998,0.0110201171987703,0.000463047310290083,0.0132610816145768,0.0350273625868303,0.00475376696806984,0.0389160276395054,0.0134861741576666,0.0107009570783179,0.0172600427672564,0.0103568408061623,0.0221932444866641,0.0163074648638424,0.0191478509831033,0.013715105721366,0.00790268411571446,0.00653414775133679,0.0213664691497934,0.0200663347923636,0.00728108868847497,0.0177630408756992,0.00101691078578029,0.0400233144121513,0.0110862690220336,0.0188553082966153,0.0618828610438276,0.0147494293194834,0.0176455495548193,0.0166947517173588,0.0649986826907538,0.0461261393323626,0.022796600269909,0.00394114429167225,0.0388770740695084,0.0118665420907683,0.0228513425974786,0.0158812381681703,0.0407732555514027,0.0522620524076584,0.0146136400456327,0.0196496660996714,0.0155208116993792,0.0217882604205435,0.0166678701846771,0.0282490314733331,0.0170292784160902,0.0125533171516454,0.00854914923651566,0.0178162630122119,0.00154530889425541,0.0161660881884867
1999,0.0114211800867128,0.000587481312149624,0.0259626472774476,0.0380425159327978,0.00543351370141132,0.0347381476502861,0.0144909965807604,0.00646058020889242,0.00880562201467388,0.00971448246791171,0.0178112874621713,0.0157569679186605,0.0142343928760223,0.0117134600256851,0.00595345638911878,0.00803852033547254,0.0181948236119821,0.0211162146425682,0.0135586898824743,0.0207146188866207,0.0091051804442517,0.046319678684845,0.00877312427034793,0.0166199707830325,0.0519461788081697,0.0150107484345826,0.0274293354360925,0.0128244760548132,0.0643228515086307,0.0316801783696702,0.0082308148537181,0.00391230931350725,0.0414964020532797,0.0311832196698756,0.0193308261115783,0.0112202866269597,0.0499452612496915,0.0465710074243563,0.011240077646846,0.0201631934938762,0.013573108271801,0.0202372247223053,0.016317660911085,0.0379273500424612,0.0146314568591193,0.0183782409919549,0.0163316626188636,0.0166606717117186,0.00124029596679673,0.0146276074019504
