"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55"
1991,0.00663221132082614,0.000511505179524538,0.0260687305009962,0.0326886722036168,0.0114231744920403,0.0201350261123583,0.00708554440325576,0.0324514851151701,0.109071089469953,0.00510141623027587,0.018654701787276,0.0411132761646736,0.0039077941678049,0.029688399236674,0.0019405990854637,0.00370736360266463,0.00997451858510027,0.00543876891336072,0.0014859672952126,0.00964180189499045,0.0231107159516153,0.0653608181742935,0.00510318448956181,0.00691292555812508,0.0332020481456398,0.0175817677075931,0.0106606732396743,0.0119582317643361,0.0381211326830649,0.00757033126263117,0.00875671808985818,0.011662198704378,0.000586098156771507,0.0095909313409092,0.0439272566637699,0.00579002669464378,0.032898130863954,0.030739445941844,0.0115287717919033,0.0194922482321423,0.00703347112040946,0.0124612733344408,0.00693671571582607,0.030173083793876,0.009920912598299,0.0201912696697981,0.00147397316181149,0.0229966482135258,0.00716092359380569,0.0231433427829637,0.044500724223506,0.0238280071782967,0.00927276495850327,0.00567638236844333,0.00395480606854771
1992,0.00580080410748466,0.000693276830210503,0.030123496584915,0.0411223536135989,0.0210462156093546,0.0085294604894554,0.00270416252518529,0.0420597804363483,0.0221655655684556,0.00314839863234932,0.0179882865867928,0.0336600249745516,0.0031561682849954,0.0547017230217412,0.00102659520197892,0.0117334628943927,0.00413727140029185,0.00337340018953728,0.00273373803968353,0.0166761970945058,0.030644044379671,0.0634950517701185,0.00915507949803993,0.0386479301796895,0.0634160960479084,0.0055521515161694,0.00809890980038754,0.0256501834758519,0.0238118915708961,0.0105062587332197,0.00802732861242531,0.00708418771676824,0.000458210811431682,0.00885380750471288,0.0310406198489094,0.00633453673922424,0.0377127569371284,0.0209137810645446,0.0137942009653265,0.0268701835133795,0.00627199747209953,0.0243946143241877,0.0102238896707209,0.00635181461708907,0.0329942133112863,0.0169456938329025,0.00213207731851638,0.0103937556912364,0.0190970936141105,0.0184869047285966,0.0648491448975183,0.00553969676217208,0.000981676688691729,0.0066055293429042,0.00808430495633631
1993,0.00253387996914895,0.000379484026366998,0.0186739880695486,0.047226752747579,0.0510761394029522,0.0483210459318158,0.00316648163945484,0.044262030009181,0.0412983106895689,0.00350454769109307,0.0264796710227762,0.0184144596097101,0.0027772764631891,0.026965541750323,0.0058444204375909,0.00760028505538141,0.0079389944358783,0.00472483804314327,0.00137414222913868,0.0125103532726482,0.0155571738595484,0.051790461406978,0.00431447836103348,0.033389636813934,0.0276516561189584,0.0576485857441206,0.0137617814706574,0.0271390454788008,0.0290837552390559,0.0320624885973923,0.0122205615368005,0.00296411334811168,0.000332345408608307,0.0175932781758095,0.0332278090864274,0.00401620823183311,0.0181794081071941,0.00502414438531407,0.00868728016410236,0.0291903564657554,0.0053141465830071,0.00477661484267726,0.00855089885817248,0.0539566497500248,0.0468757815575863,0.0079239745263033,0.0019325915763745,0.00683185996621848,0.00999506516802733,0.005205986692978,0.0259808738013718,0.00460947895851085,0.00724839250967171,0.00502433940954827,0.00686613530260366
1994,0.0109573267930941,0.000418912056671412,0.0166961421464648,0.039174309359551,0.0374376953328064,0.00935577440561661,0.00185975107276786,0.0118387176319414,0.0643771615423038,0.00194797213038225,0.0152188783460783,0.0123128871566318,0.00921953665601875,0.0118278921838533,0.00552850142679895,0.02288422685645,0.00557842210309232,0.00364696051617764,0.013884120303126,0.00306495940607494,0.00926165560507891,0.0662935377168053,0.00302425233359653,0.023086518346612,0.023692910833949,0.00976545925746918,0.0147697612667833,0.03274931599745,0.0384158830328229,0.146245188458487,0.0013818291061318,0.00289247528745732,0.000588295094904666,0.00919955510249518,0.0110613064237977,0.00773909370319222,0.0248216892895542,0.0233268454369661,0.00722209705668779,0.027090298636952,0.0032762975692361,0.0234982478197315,0.00294311067392572,0.0175038324495792,0.0158555597269066,0.03285482734444,0.00115260508065166,0.00440898071496055,0.0374192060984731,0.0188536230039531,0.0378365396868088,0.0027329982331052,0.0135100966528548,0.00534709541528279,0.00294886411699584
1995,0.00716119254626458,0.000434822463134646,0.0239726892227026,0.0224739244637777,0.0600759953793766,0.0914542875749193,0.00842595545440842,0.00711417238450532,0.0292101188256635,0.00412457347106888,0.0129547858209155,0.0339091756784593,0.00323287351996476,0.0157072330462004,0.00256076660746081,0.031435418375395,0.0087301411868348,0.00585718251801325,0.00100903894835876,0.0107578654965219,0.0201257950921064,0.0990509455934667,0.0127783651792917,0.00669841265329251,0.0164570159500817,0.00823866621093038,0.011912172362312,0.0389880357497646,0.0445189827766969,0.0183868591144419,0.00665408051532082,0.00220801932289097,0.00665644840133626,0.0100905969965791,0.0124219257563178,0.0233068323066164,0.0494373524898562,0.00611850482550304,0.00930671521269879,0.022611278898905,0.0061376540763974,0.0366522038087855,0.00754699122748574,0.00384126899399111,0.0193602321409744,0.00602357511472582,0.00116639562432307,0.00603030935224422,0.0134584098133272,0.0211871978517723,0.0358169810788092,0.00494341756313453,0.00348622885746521,0.0222701116451501,0.00550980445905884
1996,0.00419984650895244,0.000324097572544437,0.0546582809910469,0.0138282212353076,0.0221107392943626,0.182781014728443,0.0046572852369559,0.0136603953535669,0.017097106016663,0.00435193408767752,0.00915089006135601,0.0242171301684535,0.00956217947202791,0.0198545023934055,0.00154630610348705,0.00749967737487231,0.0068136885725427,0.00533153140128635,0.00183441301812012,0.0108699738943367,0.0202961316004475,0.103810490107404,0.00654414762052371,0.0102408813366819,0.0321452822767679,0.00422664781769673,0.00872005569587113,0.026844145003928,0.0632408745214667,0.00585681666982494,0.00521967921159572,0.00208509964634978,0.00159310633075879,0.00446607714330531,0.0214101623740951,0.0212871343880836,0.024749220816155,0.0054714122679019,0.00958554351692173,0.0335852729354925,0.00596796882312325,0.0345265275131665,0.00734858778951307,0.0112242109511212,0.0123814975320856,0.00420832638893885,0.00177853653796328,0.00440754460190622,0.0108971264742081,0.028975946527662,0.0334790879376106,0.00943877778789886,0.00377320231339259,0.0025959882201308,0.00326927583459842
1997,0.00573224035294262,0.000515815018852099,0.1055944962464,0.0124799373790073,0.0383472473747327,0.0123094348637233,0.00304953247290033,0.00637389814598469,0.0270000434676929,0.00467302819330667,0.0132856237444217,0.0503939469891796,0.0124688902001414,0.0109447031597184,0.00119473413693012,0.0102878267372285,0.00484509411928649,0.00310610320094505,0.0148685682788923,0.0111771103068253,0.0134097620567422,0.102253435657057,0.0072789066101388,0.0122310286503883,0.0167674403604892,0.0293893413495146,0.00745674137866391,0.024669444230334,0.0287786763244661,0.0351419703672143,0.0100997402202221,0.0101146236235687,0.00239142324254122,0.0126375780094905,0.0299520372021588,0.0135947324471344,0.0224214901927862,0.0384362754320616,0.00867029026594985,0.0271534716914376,0.00326477914594123,0.0234287343416322,0.00737089152008529,0.0144898486620486,0.0201890812023567,0.0153811550713913,0.0050211696165882,0.00406303841846561,0.00899961364121621,0.0300721828466263,0.0321856794863945,0.00996005880489334,0.00355580644685704,0.0171045937101303,0.00341668338390249
1998,0.0042279830398944,0.000403123929813121,0.0551328233640804,0.0254109719593396,0.0143056343135164,0.0644194785702444,0.00328698289617772,0.0140575986262795,0.0346226628978797,0.00335260408677132,0.0157384216666496,0.0118434817624155,0.00330361599184212,0.0292324657975688,0.00609916739259305,0.00735411967932131,0.0172080582397033,0.00913622080073892,0.00196893057936447,0.0583626829394627,0.0146495904093536,0.0631979597711298,0.00672366797197422,0.0104177727330843,0.0177909025136153,0.0287080521098602,0.00421624821721705,0.0420196606822065,0.0320919499589248,0.0579887708893305,0.00249614140327308,0.0217326383249211,0.000613194544256898,0.027498322716445,0.0156704872168245,0.00694965406880398,0.0153880786216887,0.00254722193203347,0.0107550351980756,0.00966472007528501,0.0121253090860828,0.0112065760888453,0.00196636702434243,0.0122955505141268,0.0291164015414733,0.0189664274138066,0.00179370024476891,0.0149125356517561,0.0132413494954048,0.0241869509989172,0.0550409907405006,0.0132244771666091,0.0113961878058228,0.00602704893211294,0.00391302940346999
1999,0.00244713081393425,0.000400490586968552,0.063875209246437,0.0124182172690919,0.0130579399925632,0.0321103089352409,0.00213008489068106,0.0203442349338148,0.0375832954131589,0.00203637247130819,0.0114780319713462,0.0182433813905691,0.00532409199212831,0.0235793090570759,0.00237585643177878,0.0154717077892625,0.00741065687000282,0.0074886832599963,0.0024389843770797,0.008127608295232,0.0157391836688304,0.0614645163299748,0.0175840206966311,0.0133218982277626,0.0113518882514082,0.0109405227462912,0.00727062967274718,0.0334598260475574,0.0295822863974025,0.216007779563767,0.00290538724806892,0.00877688611186052,0.00163477524317234,0.0179888834340896,0.0138901055768924,0.00580128326864894,0.0136028734532579,0.00453417245676689,0.00949283744323729,0.0118963333588659,0.00886922573029414,0.00563149114785892,0.00534803960982214,0.00888162621911595,0.0249962929602575,0.00742205286448378,0.00590391626928231,0.00631863704185038,0.0110089272465511,0.0449446490819698,0.0308486764321822,0.00721055011933332,0.0131206840561707,0.0214758929192095,0.00243165311671509
2000,0.00306737548206979,0.000356872231212868,0.0586782100404199,0.0116682529345247,0.013548659766862,0.0388059664251972,0.0063412073722702,0.0560397868246006,0.0236683392565651,0.00336953020002,0.00969239134618338,0.0563259304670618,0.00330345140445243,0.0392931011521868,0.00122869286507788,0.019604050667429,0.00512641393304651,0.0111350478098241,0.00292432310359477,0.0105958831499244,0.0117090458611557,0.0553932659641038,0.0149175968707409,0.0141052476591776,0.0162430214807453,0.0261656190047016,0.00872677370189642,0.0281716173701141,0.0339924282231955,0.0588222995458693,0.00194859409006919,0.00597270987671118,0.00199215422156904,0.0207346900138128,0.00899205950109944,0.00955877835730831,0.0328591707703994,0.00455173050143974,0.0107517550314758,0.00806638675567323,0.0141158872790996,0.02096985684887,0.00762369467539121,0.00757173612903998,0.0608582307369087,0.00822263115669806,0.0117665893365292,0.00534263674421272,0.0174577476676405,0.0303008402992261,0.0404477371499523,0.00335897162289462,0.00531574478450695,0.0157616032073046,0.00243766112794332
2001,0.00208926250406922,0.000311804152827738,0.0981181311662766,0.00729151630137402,0.0118291546875235,0.00736546191482567,0.00430932898912548,0.0553365960405563,0.015239726709541,0.00399745812679903,0.00869703635609564,0.0285826674176413,0.0144294240535105,0.0345783468619852,0.0098242400915807,0.0100770433431537,0.0115182140103814,0.00388672722747794,0.00199919278022449,0.00766855751753655,0.0222648713002455,0.0530045698305833,0.0236008037256134,0.0248100839561588,0.00485012869814053,0.0137176375565071,0.00700713765227218,0.123057249001809,0.0340172621774882,0.0470738012188854,0.00769040671445032,0.00984640161175201,0.00283235280785169,0.019912067446127,0.0128736888244387,0.0189324479941441,0.00610225621557708,0.00530238128332497,0.0134490128147144,0.0166821952507425,0.0105013495732436,0.00762458331403077,0.00349025638713685,0.00587520374404941,0.0364206525555095,0.00712228639185137,0.0274457278842323,0.00611641864867625,0.0130021721251476,0.0109308569585431,0.0370777700783887,0.0159005076542761,0.00764469337713321,0.00476340267923071,0.00190747229521867
2002,0.00363407448848752,0.000342397092956047,0.056066148655938,0.0159490699372773,0.0115397135387353,0.0109609124171425,0.00439626731276372,0.120855960875616,0.0190295176870591,0.00177081391372897,0.00866935589167474,0.0158234899368269,0.00144876561291618,0.017186285399578,0.000733935057477348,0.138591125470851,0.00586359764142044,0.00428235640363713,0.00723430837375085,0.0091117541208143,0.020021409584117,0.0658907512682441,0.0193010060694744,0.012344834005587,0.00678748666999766,0.0242610629977967,0.00906232243502995,0.0120921911761398,0.0306315382591767,0.0706128361773551,0.0015160320708381,0.00214358556090805,0.000972330829221594,0.00881769856698289,0.00628957173227162,0.0163313071950759,0.00878595288990987,0.0237177470556148,0.0100311272273369,0.00954997257478445,0.0124607492094212,0.0147710313235806,0.00446788870667835,0.00466273019133705,0.0151127977581553,0.0105308352585793,0.0020398920381541,0.00311506706111792,0.0210274177262089,0.0426946301273368,0.0281916629819529,0.00516557916960308,0.0150297640427312,0.00531656941210494,0.00276277081852396
2003,0.0018704964436525,0.000300460997151608,0.0309737404192969,0.00342024686511701,0.0237863412431967,0.00714735139264131,0.00446759309510717,0.0721980035246943,0.0266022169453692,0.00404199990650974,0.00628962482970191,0.0343614530390356,0.00361357173005592,0.0505582317054748,0.00310754929517,0.173641508238762,0.0090289257881556,0.00211939114143904,0.00212195324027328,0.0049982091454429,0.0146967221948362,0.0538720794743847,0.00181911814008733,0.0219644683172572,0.00918194689057686,0.00346137369179797,0.00907850951451576,0.0418840701270171,0.0247859958386772,0.0548162568894083,0.00508652211674037,0.0153438797948521,0.00270374961234152,0.010991293156692,0.00472015495282664,0.00738661630282024,0.00778186196911531,0.00280430247609399,0.0186617161152927,0.0170980483872677,0.011330854526834,0.0228697267353746,0.00414690881094851,0.00273085300837388,0.0245639627783674,0.0138884615556337,0.00444424386774871,0.00479405950860865,0.0179581924585493,0.0202208270413722,0.0436740333392559,0.00996923053827107,0.022290387693711,0.00252026827315979,0.00181043491494257
2004,0.00790308512605779,0.000375402637296775,0.0393224433115092,0.00787362464555156,0.00948955735361996,0.0220105610202031,0.00677013085532185,0.0113777790403062,0.0565726422806727,0.0045401316121923,0.0116073275886024,0.0407674918059821,0.0058409734846895,0.00768134155898887,0.00648133752353907,0.0525395139946349,0.00693723406747934,0.00827843640033889,0.00471769261662712,0.0147499231999538,0.0105474024179488,0.0874884118251342,0.00473803068434273,0.0361261392203481,0.0286211595893715,0.0176043284226486,0.0103676988198494,0.0290600792961522,0.0322974509416657,0.086143349167291,0.00324688995649285,0.00258944302960472,0.00193889081808795,0.0115729851696664,0.00402757118164151,0.00781869844441718,0.0244474538128518,0.0142246756489417,0.00724506883579296,0.0265304074139971,0.0097155206581893,0.0243495041090819,0.0105718159509313,0.0128028604952635,0.0190492720137251,0.00623028424328424,0.00419395784468006,0.00640616355481012,0.0192606380010565,0.00904438761344193,0.0442020948425604,0.0106863459706844,0.044931672617165,0.00427235631831552,0.00181036094699715
2005,0.00409586990428735,0.000383278335860826,0.0569233895513292,0.0129060129074271,0.0285827932032054,0.0145413997306708,0.00395718094950117,0.00709814355213354,0.0172737585580183,0.00506956872450741,0.0132349876507503,0.0208551505691309,0.00343007644185516,0.0261046076449677,0.00190614176007925,0.0199703055054858,0.0115541797959655,0.00643308468791327,0.00172446107654016,0.027616775661211,0.012724096620666,0.0553699524847728,0.0238270395752189,0.0253350652154833,0.00957632479634517,0.0345205141637951,0.00953371762201771,0.0242055828586174,0.0386271313910464,0.0823047295868063,0.00831473096525409,0.0174229721635631,0.00146753339117553,0.010477616628667,0.00357070732434341,0.0107953174201406,0.0200363393291517,0.0124763187011589,0.00925795146037243,0.0179297241390675,0.0116242380821712,0.021572866117342,0.00480416069966703,0.0113734072643217,0.0332163712935032,0.0109910236921851,0.00259228110654505,0.0038675788254079,0.0287564673272966,0.0531645450794213,0.0335625740543663,0.0135658471321644,0.0502692634203112,0.00588435717255806,0.00332048668423572
2006,0.0033207372680559,0.000461533685524954,0.0605631095206091,0.00396282318453722,0.0240775766787421,0.0575892802047619,0.00575947499638453,0.0334899166616627,0.0180281914168251,0.00286433692480942,0.0126063498262988,0.0555372120058116,0.00473648580568102,0.0163096248393611,0.00465810282059741,0.012232338448415,0.0190093675567535,0.00947648222498662,0.00828597606016529,0.0106443757905281,0.0116707933143168,0.0826993474149781,0.0071007139661974,0.0547090443389915,0.0140473473361423,0.0153151427735256,0.0213111223277559,0.0213777539609411,0.033193268065702,0.0322544656896516,0.00775515090681123,0.0164021856077796,0.00342777146458981,0.0209163849589177,0.00255929643299594,0.00844013477644031,0.0229778548710631,0.00736935107366266,0.00726057536355516,0.0234672219315094,0.0101288785470976,0.024707430121301,0.00712472729544369,0.00669016634780076,0.0298266906424425,0.0123134790433454,0.00298516982168021,0.0137562891590967,0.0232867096586579,0.0179626412206291,0.0361123437957983,0.00816374314862696,0.0225356350307714,0.00307594066600457,0.00346193300526503
