"year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
1990,0.00530918202402756,0.000448886637446455,0.00722126319536195,0.0313136268014426,0.039832203569749,0.00703986039525938,0.0124350311915868,0.0614800425748497,0.188029895484429,0.00759759856878213,0.013470312652032,0.0525457447693157,0.00347530343672206,0.0464610359373258,0.00425521870010243,0.0148163846481912,0.00664507578741721,0.00587663990736069,0.000849757674729942,0.00733988447285435,0.00457926826241341,0.0465668219657897,0.0286505269073466,0.0160250017672936,0.0130834586614499,0.0169435863681693,0.0144611159040907,0.0118296537008126,0.0174509913731646,0.0981877582413285,0.00576771489184966,0.0495706646054818,0.000641264008586279,0.0301435092401903,0.0152142948718401,0.00324921792362003,0.0148909032331787,0.00488177933540553,0.0133498514396713,0.0258471631743524,0.0077816379739777,0.00851633498862033,0.00606879008823009,0.0249170750167941,0.00493866762735631
1991,0.00901121064662874,0.000511059176896552,0.0274403103737092,0.021681657922816,0.0111376387578138,0.0205622118622872,0.00749591859775829,0.0360578671633818,0.117294961230686,0.0141773243869133,0.0290793528694274,0.0409799901973649,0.00564239104301669,0.0303520818179322,0.00277731268046741,0.00630563584453012,0.0114468833211011,0.00351739538198647,0.00227684408932668,0.010900534832223,0.0113466226201232,0.0745825484582576,0.0100053913351915,0.0147178909380794,0.0330244949796244,0.0297401865264546,0.0204532901843761,0.0131499572602335,0.0427956406020417,0.00807122059767365,0.0107140546987813,0.0641792799871151,0.00115483833688593,0.017039246377821,0.0478873661926523,0.00688431681977664,0.0342549749052262,0.0313498573220346,0.019833994508062,0.0242309489429166,0.00744384319413928,0.0141173884986205,0.00955405577174972,0.0377617095431598,0.00705829920273616
1992,0.00800546931734245,0.000659276278782579,0.0321713752293837,0.0200230755759139,0.018273169290611,0.00927879554032161,0.00297993112852974,0.0460785472093052,0.0293970454183575,0.00710248190659674,0.00763674024011907,0.033444501763407,0.00407778113209528,0.0564327551791397,0.00155365725094736,0.0236050309922799,0.00447791452635055,0.00178095491329697,0.00247575786469443,0.017237616625217,0.0100042446144768,0.072710049642179,0.0125221826097342,0.0403474335524115,0.0638766730747465,0.00970171237033253,0.0191941416080846,0.0260384386506919,0.026158117753105,0.00867523151646104,0.0113951578813452,0.0823789974236815,0.000929518396813537,0.0335532400706465,0.0308580670880843,0.0123649229639648,0.049744476709996,0.0222404534860647,0.0151192503808238,0.0356538271326697,0.00692885448456154,0.0233107348246892,0.0135846810153605,0.0350029964617806,0.0110147189046037
1993,0.00364283484832196,0.000361287960703749,0.0202556275654905,0.010857823781409,0.0573063116566841,0.0484122332177516,0.003802537144151,0.0463928073379401,0.0384775193373947,0.00401123513250888,0.0107278145098251,0.0190621796800072,0.00294194618972198,0.0318481578155079,0.00769043677270088,0.0167132334704313,0.0104063152855574,0.00297011079038117,0.00137338129811214,0.0128149484088681,0.00966110609887216,0.0606563997364577,0.00510713609298353,0.0391530769374078,0.0287635265201812,0.111791252598059,0.0187375492682543,0.0246590220507406,0.0324328589939458,0.0339358267633389,0.0111119539917875,0.0214971771837771,0.000849215016714272,0.0412412252363194,0.0345663784900051,0.00727018391699931,0.0252044469953482,0.00677390918882901,0.0111635161097382,0.0327728952126037,0.00494421359640812,0.00656032172713878,0.00893063874012636,0.0628334834044711,0.00931394392602386
1994,0.0140933370030197,0.000481252380886376,0.0170468577558038,0.0194052437860214,0.0390044931312092,0.0111157883752936,0.00208367617456581,0.0147550663462336,0.0685611471258209,0.00312771691689088,0.017094475759233,0.0126920536498987,0.0146219915013676,0.0102690027629504,0.00648199963640015,0.0553230184818569,0.00615191659711206,0.00156307724065372,0.0162390159715211,0.00311451048972946,0.00837274175901347,0.0679465281126609,0.00478438346507504,0.0246794481078991,0.0236963312427115,0.0186406037808111,0.0200071001429294,0.031233981903207,0.0425257225304223,0.150138060637141,0.00161329938050689,0.0472901684224256,0.00101722951706754,0.0206593017955039,0.012271710867869,0.0119785675159136,0.0258405501671261,0.024212151372381,0.00723569437455398,0.0288584538062669,0.00295638542127922,0.02597096036302,0.00788979376093512,0.0496724870935272,0.00728270337328497
1995,0.00928064675241781,0.000463914006016511,0.0242593772191704,0.0241824001466388,0.0651003889898636,0.0909421794309654,0.007365511308705,0.00770897963099737,0.0307120951645343,0.00362602270240331,0.00689684904723858,0.0348947528042975,0.0193865199179093,0.0179072311963302,0.00307984810524525,0.0430281593094721,0.0101884139214976,0.00623414489095723,0.00107405920661399,0.0117932126643559,0.00525197504825024,0.105669406322068,0.01366687948381,0.0105625815159763,0.0157498596475037,0.0142606356483438,0.0199014373559168,0.0331163997067582,0.0521119002178886,0.0192715476606959,0.00738424702105884,0.0399700825940613,0.00221717776815592,0.0245652202534212,0.0123405608116142,0.0336141564294709,0.0546441940172176,0.00554128340006046,0.0088639620466578,0.028463765994227,0.00575402560217343,0.0384157035849889,0.00793608839343289,0.0146690535203406,0.00793314954027709
1996,0.0067125402576482,0.000349699646368663,0.0579606479918875,0.0284409709051759,0.0204442215103519,0.18585204428026,0.00537917211424465,0.0146268462390432,0.0188169637955054,0.00296299284463997,0.00822040100243757,0.0249837467102295,0.033256905599694,0.020842954188899,0.00172597996161407,0.011252973951403,0.00775438723702105,0.0103731472621322,0.0015246151642438,0.0109346935776822,0.00523506291292634,0.0971258207944282,0.00646901287178758,0.0147768816187596,0.0311218517971327,0.00554702772911997,0.0160743876667513,0.026140730134345,0.0693184985098006,0.00619643871542646,0.00703508968093491,0.0234689069170755,0.00282806029085024,0.0110665202540145,0.0229587521230395,0.0318110707601425,0.0245508796995323,0.00532721773589695,0.00906585291407829,0.0403008470854544,0.00581958818698785,0.0348372813203715,0.0105595124975935,0.0117916056148672,0.00815719792820099
1997,0.00753341796064259,0.000578500089774208,0.109629171031974,0.0315442277948343,0.041084899547552,0.0133844842350342,0.00539740961434531,0.00776786678650612,0.0321658936714574,0.00488593291532607,0.00784529146613147,0.0524931450278718,0.0290457248737972,0.0133984553763147,0.00394193923563022,0.0219462417093823,0.00550853924812088,0.00332161838068875,0.0146273365849333,0.0117960054308831,0.0163382196965872,0.102460581914451,0.00907932140902543,0.0180236949655689,0.0158073839805856,0.0403551606633986,0.0110458024685587,0.0285944655128988,0.0316993987643078,0.0355023510720888,0.0114508709604423,0.0366165743842855,0.00309655049365598,0.0212872953329801,0.0289444553505398,0.012059216909346,0.0226667080942965,0.0388673710272053,0.0112652943967711,0.0325576141065475,0.00319487589529908,0.0236532040636182,0.00789239326555616,0.01197667254245,0.00766842174833595
1998,0.00538765230587644,0.00049139051057348,0.057876046507872,0.0266634890394184,0.0159608007965004,0.0650356052871489,0.00412947567282639,0.0194038129721431,0.0396437691847885,0.0117233242732481,0.0197812003011777,0.0129640965616134,0.00649454026013677,0.031301392663086,0.00864908500577492,0.0111716777051279,0.0216465549725789,0.00565314281020807,0.00286251037193122,0.0632727299791905,0.0095189914922057,0.070643219308973,0.00835383466301457,0.015179106688723,0.0187667145021401,0.0364056427192628,0.0112574517363447,0.0380147388044848,0.0367309715485825,0.0599773233192188,0.00335466995760879,0.0616410403626895,0.00131631134295,0.0532853517712806,0.0182641127390433,0.0129192913501921,0.0174238778690096,0.00301141536127589,0.0166000007479572,0.0113389334000367,0.0132559002768216,0.00991767475883858,0.00652389847303656,0.0263623824277398,0.00982484719734913
1999,0.00375731926814522,0.000422908952033124,0.0645659720754201,0.0414135627969383,0.0133787683290842,0.0323275185761291,0.00338809306057705,0.0235667636633612,0.0416952731635558,0.00356921192054125,0.0140418804040191,0.018908437782537,0.00583786335081972,0.0294984421268607,0.0043136331390955,0.0261323109039275,0.00888706110612388,0.00847006856976593,0.00290469756014122,0.00895766519718162,0.00493396705705158,0.0681765167001507,0.0233729903728188,0.0238371699784825,0.0116014960302996,0.0133815482949025,0.0102294081410241,0.0377112027841724,0.0323620332160439,0.228811964754354,0.00320540553088201,0.0272764833859659,0.00221721769578141,0.0344880035274517,0.0136649702143264,0.00882417061384273,0.0180947442397504,0.00655979249267777,0.0123191945964778,0.0128694114689047,0.0101987700347288,0.00677920435493879,0.00672436421276865,0.0180325755619711,0.00828994279397478
